cycle,pc_if,pc_id,instr,is_decoding,id_ready,ex_ready,load_stall,jr_stall,misaligned_stall,branch_dec,pc_set,data_req,data_gnt,data_rvalid,if_busy,perf_imiss,instr_valid_id
53,0x000000e4,0x000000e2,0x00000593,1,1,1,0,0,0,1,0,0,0,0,1,0,1
54,0x000000e8,0x000000e4,0x217000ef,1,1,1,0,0,0,1,1,0,0,0,1,0,1
55,0x00000afa,0x000000e4,0x217000ef,0,1,1,0,0,0,0,0,0,0,0,1,1,0
56,0x00000afa,0x000000e4,0x217000ef,0,1,1,0,0,0,0,0,0,0,0,1,0,0
57,0x00000afc,0x00000afa,0xfe010113,1,1,1,0,0,0,0,0,0,0,0,1,1,1
58,0x00000afc,0x00000afa,0xfe010113,0,1,1,0,0,0,0,0,0,0,0,1,0,0
59,0x00000afe,0x00000afc,0x00112e23,1,1,1,0,0,0,0,0,0,0,0,1,1,1
60,0x00000afe,0x00000afc,0x00112e23,0,1,1,0,0,0,0,0,1,1,0,1,0,0
61,0x00000b00,0x00000afe,0x00812c23,1,1,1,0,0,0,0,0,0,0,1,1,0,1
62,0x00000b02,0x00000b00,0x00912a23,1,1,1,0,0,0,0,0,1,1,0,1,0,1
63,0x00000b06,0x00000b02,0x00102437,1,1,1,0,0,0,0,0,1,1,1,1,1,1
64,0x00000b06,0x00000b02,0x00102437,0,1,1,0,0,0,0,0,0,0,1,1,0,0
65,0x00000b0a,0x00000b06,0x00100537,1,1,1,0,0,0,0,0,0,0,0,1,1,1
66,0x00000b0a,0x00000b06,0x00100537,0,1,1,0,0,0,0,0,0,0,0,1,0,0
67,0x00000b0e,0x00000b0a,0x12050513,1,1,1,0,0,0,0,0,0,0,0,1,1,1
68,0x00000b0e,0x00000b0a,0x12050513,0,1,1,0,0,0,0,0,0,0,0,1,0,0
69,0x00000b12,0x00000b0e,0x001005b7,1,1,1,0,0,0,0,0,0,0,0,1,1,1
70,0x00000b12,0x00000b0e,0x001005b7,0,1,1,0,0,0,0,0,0,0,0,1,0,0
71,0x00000b16,0x00000b12,0x10058593,1,1,1,0,0,0,0,0,0,0,0,1,1,1
72,0x00000b16,0x00000b12,0x10058593,0,1,1,0,0,0,0,0,0,0,0,1,0,0
73,0x00000b18,0x00000b16,0x00410613,1,1,1,0,0,0,0,0,0,0,0,1,0,1
74,0x00000b1a,0x00000b18,0x00410493,1,1,1,0,0,0,0,0,0,0,0,1,0,1
75,0x00000b1c,0x00000b1a,0xb4bff0ef,1,1,1,0,0,0,0,1,0,0,0,1,0,1
76,0x00000664,0x00000b1a,0xb4bff0ef,0,1,1,0,0,0,0,0,0,0,0,1,1,0
77,0x00000664,0x00000b1a,0xb4bff0ef,0,1,1,0,0,0,0,0,0,0,0,1,1,0
78,0x00000664,0x00000b1a,0xb4bff0ef,0,1,1,0,0,0,0,0,0,0,0,1,0,0
79,0x00000666,0x00000664,0xfd010113,1,1,1,0,0,0,0,0,0,0,0,1,1,1
80,0x00000666,0x00000664,0xfd010113,0,1,1,0,0,0,0,0,0,0,0,1,0,0
81,0x00000668,0x00000666,0x02112623,1,1,1,0,0,0,0,0,0,0,0,1,0,1
82,0x0000066a,0x00000668,0x00c00833,1,1,1,0,0,0,0,0,1,1,0,1,0,1
83,0x0000066e,0x0000066a,0x00054883,1,1,1,0,0,0,0,0,0,0,1,1,1,1
84,0x0000066e,0x0000066a,0x00054883,0,1,1,0,0,0,0,0,1,1,0,1,0,0
85,0x00000672,0x0000066e,0x00154283,1,0,0,0,0,0,0,0,0,0,0,1,1,1
86,0x00000672,0x0000066e,0x00154283,1,1,1,0,0,0,0,0,0,0,1,1,0,1
87,0x00000676,0x00000672,0x00254783,1,1,1,0,0,0,0,0,1,1,0,1,1,1
88,0x00000676,0x00000672,0x00254783,0,0,0,0,0,0,0,0,1,0,0,1,0,0
89,0x00000676,0x00000672,0x00254783,0,1,1,0,0,0,0,0,1,1,1,1,0,0
90,0x0000067a,0x00000676,0x00354683,1,0,0,0,0,0,0,0,0,0,0,1,0,1
91,0x0000067a,0x00000676,0x00354683,1,1,1,0,0,0,0,0,0,0,1,1,0,1
92,0x0000067e,0x0000067a,0x00454603,1,1,1,0,0,0,0,0,1,1,0,1,0,1
93,0x00000682,0x0000067e,0x00554703,1,0,0,0,0,0,0,0,1,0,0,1,1,1
94,0x00000682,0x0000067e,0x00554703,1,1,1,0,0,0,0,0,1,1,1,1,0,1
95,0x00000686,0x00000682,0x00654303,1,0,0,0,0,0,0,0,1,0,0,1,1,1
96,0x00000686,0x00000682,0x00654303,1,1,1,0,0,0,0,0,1,1,1,1,0,1
97,0x0000068a,0x00000686,0x00754383,1,0,0,0,0,0,0,0,1,0,0,1,1,1
98,0x0000068a,0x00000686,0x00754383,1,1,1,0,0,0,0,0,1,1,1,1,0,1
